--------------------------------------------------
Code running on device: cuda
--------------------------------------------------
Dataset source : NOAA, ISGI
File location :
    SSN - /home/extern/Documents/Research/data/NOAA/table_international-sunspot-numbers_monthly.txt
    AA - /home/extern/Documents/Research/data/ISGI/aa_1869-08-01_2017-12-31_D.dat
--------------------------------------------------
Selected model: FFNN(
  (model): Sequential(
    (0): Linear(in_features=6, out_features=6, bias=True)
    (1): LeakyReLU(negative_slope=0.1, inplace)
    (2): Linear(in_features=6, out_features=6, bias=True)
    (3): LeakyReLU(negative_slope=0.1, inplace)
    (4): Linear(in_features=6, out_features=1, bias=True)
  )
)
    Training mode: True
    Testing mode: False
--------------------------------------------------
No pre-trained models available, initializing model weights
--------------------------------------------------
Training model with: num_epochs=500, start_lr=0.001
Epoch [   1/500] -> Loss: 1579.4183
Epoch [   2/500] -> Loss: 393.2272
Epoch [   3/500] -> Loss: 371.5216
Epoch [   4/500] -> Loss: 366.9092
Epoch [   5/500] -> Loss: 364.3198
Epoch [   6/500] -> Loss: 360.5552
Epoch [   7/500] -> Loss: 358.7661
Epoch [   8/500] -> Loss: 356.3674
Epoch [   9/500] -> Loss: 356.3068
Epoch [  10/500] -> Loss: 353.5710
Epoch [  11/500] -> Loss: 353.1542
Epoch [  12/500] -> Loss: 353.2841
Epoch [  13/500] -> Loss: 352.9543
Epoch [  14/500] -> Loss: 352.4988
Epoch [  15/500] -> Loss: 352.3655
Epoch [  16/500] -> Loss: 351.2032
Epoch [  17/500] -> Loss: 351.0000
Epoch [  18/500] -> Loss: 351.5773
Epoch [  19/500] -> Loss: 352.2256
Epoch [  20/500] -> Loss: 351.9526
Epoch [  21/500] -> Loss: 351.0916
Epoch [  22/500] -> Loss: 349.7330
Epoch [  23/500] -> Loss: 349.4534
Epoch [  24/500] -> Loss: 350.5037
Epoch [  25/500] -> Loss: 349.4293
Epoch [  26/500] -> Loss: 349.6408
Epoch [  27/500] -> Loss: 349.4117
Epoch [  28/500] -> Loss: 349.2636
Epoch [  29/500] -> Loss: 347.2731
Epoch [  30/500] -> Loss: 348.6101
Epoch [  31/500] -> Loss: 348.3897
Epoch [  32/500] -> Loss: 347.9514
Epoch [  33/500] -> Loss: 347.2895
Epoch [  34/500] -> Loss: 348.5112
Epoch [  35/500] -> Loss: 346.1838
Epoch [  36/500] -> Loss: 346.3205
Epoch [  37/500] -> Loss: 345.6836
Epoch [  38/500] -> Loss: 346.3392
Epoch [  39/500] -> Loss: 346.2349
Epoch [  40/500] -> Loss: 345.4997
Epoch [  41/500] -> Loss: 345.2602
Epoch [  42/500] -> Loss: 344.4645
Epoch [  43/500] -> Loss: 344.6844
Epoch [  44/500] -> Loss: 345.4749
Epoch [  45/500] -> Loss: 344.3659
Epoch [  46/500] -> Loss: 343.5432
Epoch [  47/500] -> Loss: 344.9363
Epoch [  48/500] -> Loss: 342.6541
Epoch [  49/500] -> Loss: 345.7372
--------------------------------------------------
Model checkpoint as /home/extern/Documents/Research/scripts/models/_FFNN.pth
--------------------------------------------------
Epoch [  50/500] -> Loss: 343.6074
Epoch [  51/500] -> Loss: 345.3471
Epoch [  52/500] -> Loss: 343.2858
Epoch [  53/500] -> Loss: 343.1007
Epoch [  54/500] -> Loss: 343.8696
Epoch [  55/500] -> Loss: 343.5594
Epoch [  56/500] -> Loss: 341.4604
Epoch [  57/500] -> Loss: 345.4611
Epoch [  58/500] -> Loss: 342.1877
Epoch [  59/500] -> Loss: 343.5082
Epoch [  60/500] -> Loss: 342.2138
Epoch [  61/500] -> Loss: 342.7991
Epoch [  62/500] -> Loss: 342.1376
Epoch [  63/500] -> Loss: 343.0647
Epoch [  64/500] -> Loss: 341.1986
Epoch [  65/500] -> Loss: 343.3701
Epoch [  66/500] -> Loss: 342.3585
Epoch [  67/500] -> Loss: 341.2581
Epoch [  68/500] -> Loss: 343.1547
Epoch [  69/500] -> Loss: 340.5633
Epoch [  70/500] -> Loss: 341.8257
Epoch [  71/500] -> Loss: 342.0658
Epoch [  72/500] -> Loss: 341.3532
Epoch [  73/500] -> Loss: 341.4162
Epoch [  74/500] -> Loss: 341.2448
Epoch [  75/500] -> Loss: 341.1290
Epoch [  76/500] -> Loss: 340.3932
Epoch [  77/500] -> Loss: 340.4380
Epoch [  78/500] -> Loss: 341.4247
Epoch [  79/500] -> Loss: 341.6990
Epoch [  80/500] -> Loss: 340.9011
Epoch [  81/500] -> Loss: 339.6632
Epoch [  82/500] -> Loss: 340.6212
Epoch [  83/500] -> Loss: 341.4590
Epoch [  84/500] -> Loss: 340.5972
Epoch [  85/500] -> Loss: 340.7211
Epoch [  86/500] -> Loss: 340.2214
Epoch [  87/500] -> Loss: 340.8155
Epoch [  88/500] -> Loss: 340.2913
Epoch [  89/500] -> Loss: 340.3247
Epoch [  90/500] -> Loss: 340.4827
Epoch [  91/500] -> Loss: 339.9243
Epoch    91: reducing learning rate of group 0 to 5.0000e-04.
Epoch [  92/500] -> Loss: 340.1971
Epoch [  93/500] -> Loss: 338.9958
Epoch [  94/500] -> Loss: 338.5398
Epoch [  95/500] -> Loss: 338.6231
Epoch [  96/500] -> Loss: 338.3919
Epoch [  97/500] -> Loss: 339.6186
Epoch [  98/500] -> Loss: 339.1088
Epoch [  99/500] -> Loss: 338.7801
--------------------------------------------------
Model checkpoint as /home/extern/Documents/Research/scripts/models/_FFNN.pth
--------------------------------------------------
Epoch [ 100/500] -> Loss: 338.5994
Epoch [ 101/500] -> Loss: 338.4760
Epoch [ 102/500] -> Loss: 339.0534
Epoch [ 103/500] -> Loss: 339.2781
Epoch [ 104/500] -> Loss: 339.5061
Epoch [ 105/500] -> Loss: 338.2221
Epoch [ 106/500] -> Loss: 338.4941
Epoch [ 107/500] -> Loss: 339.1186
Epoch [ 108/500] -> Loss: 338.3789
Epoch [ 109/500] -> Loss: 338.4601
Epoch [ 110/500] -> Loss: 338.7491
Epoch [ 111/500] -> Loss: 338.8223
Epoch [ 112/500] -> Loss: 338.8485
Epoch [ 113/500] -> Loss: 339.8499
Epoch [ 114/500] -> Loss: 338.8264
Epoch [ 115/500] -> Loss: 336.4400
