--------------------------------------------------
Code running on device: cuda
--------------------------------------------------
Dataset source : SILSO, ISGI
File location :
    SSN - /home/extern/Documents/Research/data/SILSO/TSN/SN_m_tot_V2.0.txt
    AA - /home/extern/Documents/Research/data/ISGI/aa_1869-08-01_2017-12-31_D.dat
--------------------------------------------------
Selected model: FFNN(
  (model): Sequential(
    (0): Linear(in_features=6, out_features=6, bias=True)
    (1): LeakyReLU(negative_slope=0.01, inplace)
    (2): Linear(in_features=6, out_features=6, bias=True)
    (3): LeakyReLU(negative_slope=0.01, inplace)
    (4): Linear(in_features=6, out_features=1, bias=True)
  )
)    Training mode: True    Testing mode: False
--------------------------------------------------
No pre-trained models available, initializing model weights
--------------------------------------------------
Training model with: num_epochs=450, start_lr=0.0005
Epoch [   1/450] -> Loss: 3178.8078
Epoch [   2/450] -> Loss: 1042.7468
Epoch [   3/450] -> Loss: 1029.4331
Epoch [   4/450] -> Loss: 1021.2434
Epoch [   5/450] -> Loss: 1018.9979
Epoch [   6/450] -> Loss: 1017.6417
Epoch [   7/450] -> Loss: 1010.1181
Epoch [   8/450] -> Loss: 1005.1313
Epoch [   9/450] -> Loss: 1010.2047
Epoch [  10/450] -> Loss: 1003.9150
Epoch [  11/450] -> Loss: 1005.0499
Epoch [  12/450] -> Loss: 1005.7183
Epoch [  13/450] -> Loss: 1007.1915
Epoch [  14/450] -> Loss: 1002.2591
Epoch [  15/450] -> Loss: 1002.1016
Epoch [  16/450] -> Loss: 1001.6105
Epoch [  17/450] -> Loss: 998.3027
Epoch [  18/450] -> Loss: 998.4276
Epoch [  19/450] -> Loss: 997.3262
Epoch [  20/450] -> Loss: 997.9082
Epoch [  21/450] -> Loss: 995.6187
Epoch [  22/450] -> Loss: 995.7338
Epoch [  23/450] -> Loss: 995.1412
Epoch [  24/450] -> Loss: 995.1345
Epoch [  25/450] -> Loss: 996.3144
Epoch [  26/450] -> Loss: 994.1310
Epoch [  27/450] -> Loss: 993.2850
Epoch [  28/450] -> Loss: 992.4608
Epoch [  29/450] -> Loss: 987.3069
Epoch [  30/450] -> Loss: 992.6577
Epoch [  31/450] -> Loss: 988.0874
Epoch [  32/450] -> Loss: 989.0322
Epoch [  33/450] -> Loss: 984.1730
Epoch [  34/450] -> Loss: 988.8246
Epoch [  35/450] -> Loss: 983.5488
Epoch [  36/450] -> Loss: 984.0605
Epoch [  37/450] -> Loss: 982.7240
Epoch [  38/450] -> Loss: 980.9060
Epoch [  39/450] -> Loss: 982.5854
Epoch [  40/450] -> Loss: 979.2661
Epoch [  41/450] -> Loss: 981.0486
Epoch [  42/450] -> Loss: 978.0107
Epoch [  43/450] -> Loss: 977.5153
Epoch [  44/450] -> Loss: 976.6645
Epoch [  45/450] -> Loss: 976.1291
Epoch [  46/450] -> Loss: 972.2235
Epoch [  47/450] -> Loss: 977.4189
Epoch [  48/450] -> Loss: 967.8127
Epoch [  49/450] -> Loss: 979.5899
--------------------------------------------------
Model checkpoint saved as FFNN_50.pth
--------------------------------------------------
Epoch [  50/450] -> Loss: 969.2535
Epoch [  51/450] -> Loss: 972.6511
Epoch [  52/450] -> Loss: 972.9205
Epoch [  53/450] -> Loss: 969.0557
Epoch [  54/450] -> Loss: 969.2657
Epoch [  55/450] -> Loss: 968.9099
