--------------------------------------------------
Code running on device: cuda
--------------------------------------------------
Dataset source : NOAA, ISGI
File location :
    SSN - /home/extern/Documents/Research/data/NOAA/table_international-sunspot-numbers_monthly.txt
    AA - /home/extern/Documents/Research/data/ISGI/aa_1869-08-01_2017-12-31_D.dat
--------------------------------------------------
Selected model: FFNN(
  (model): Sequential(
    (0): Linear(in_features=6, out_features=6, bias=True)
    (1): LeakyReLU(negative_slope=0.01, inplace=True)
    (2): Linear(in_features=6, out_features=6, bias=True)
    (3): LeakyReLU(negative_slope=0.01, inplace=True)
    (4): Linear(in_features=6, out_features=1, bias=True)
  )
)    Training mode: True    Testing mode: False
--------------------------------------------------
Pre-trained model available, loading model weights
--------------------------------------------------
Training model with: num_epochs=450, start_lr=0.0005
Epoch [   1/450] -> Loss: 2065.8694
Epoch [   2/450] -> Loss: 1887.6017
Epoch [   3/450] -> Loss: 1834.5038
Epoch [   4/450] -> Loss: 1793.5131
Epoch [   5/450] -> Loss: 1759.8486
Epoch [   6/450] -> Loss: 1730.3676
Epoch [   7/450] -> Loss: 1702.5577
Epoch [   8/450] -> Loss: 1677.7437
Epoch [   9/450] -> Loss: 1656.7511
Epoch [  10/450] -> Loss: 1634.9884
Epoch [  11/450] -> Loss: 1614.3337
Epoch [  12/450] -> Loss: 1595.6815
Epoch [  13/450] -> Loss: 1575.5152
Epoch [  14/450] -> Loss: 1554.7577
Epoch [  15/450] -> Loss: 1538.5329
Epoch [  16/450] -> Loss: 1518.1023
Epoch [  17/450] -> Loss: 1503.1822
Epoch [  18/450] -> Loss: 1485.5396
Epoch [  19/450] -> Loss: 1467.6549
Epoch [  20/450] -> Loss: 1451.9956
Epoch [  21/450] -> Loss: 1434.8083
Epoch [  22/450] -> Loss: 1420.9879
Epoch [  23/450] -> Loss: 1406.2590
Epoch [  24/450] -> Loss: 1393.5136
Epoch [  25/450] -> Loss: 1379.6321
Epoch [  26/450] -> Loss: 1366.5365
Epoch [  27/450] -> Loss: 1356.9713
Epoch [  28/450] -> Loss: 1345.1628
Epoch [  29/450] -> Loss: 1336.4390
Epoch [  30/450] -> Loss: 1328.8409
Epoch [  31/450] -> Loss: 1318.6798
Epoch [  32/450] -> Loss: 1313.3492
Epoch [  33/450] -> Loss: 1306.9753
Epoch [  34/450] -> Loss: 1300.2059
Epoch [  35/450] -> Loss: 1295.3000
Epoch [  36/450] -> Loss: 1290.0253
Epoch [  37/450] -> Loss: 1284.4144
Epoch [  38/450] -> Loss: 1281.2796
Epoch [  39/450] -> Loss: 1276.9009
Epoch [  40/450] -> Loss: 1271.9141
Epoch [  41/450] -> Loss: 1267.3807
Epoch [  42/450] -> Loss: 1265.5822
Epoch [  43/450] -> Loss: 1262.1494
Epoch [  44/450] -> Loss: 1258.3991
Epoch [  45/450] -> Loss: 1255.0997
Epoch [  46/450] -> Loss: 1253.0686
Epoch [  47/450] -> Loss: 1250.5727
Epoch [  48/450] -> Loss: 1249.5958
Epoch [  49/450] -> Loss: 1246.0429
--------------------------------------------------
Model checkpoint saved as FFNN_50.pth
--------------------------------------------------
Epoch [  50/450] -> Loss: 1242.2402
Epoch [  51/450] -> Loss: 1241.4413
Epoch [  52/450] -> Loss: 1240.9180
Epoch [  53/450] -> Loss: 1237.9390
Epoch [  54/450] -> Loss: 1237.6620
Epoch [  55/450] -> Loss: 1234.5083
Epoch [  56/450] -> Loss: 1232.1893
Epoch [  57/450] -> Loss: 1231.9178
Epoch [  58/450] -> Loss: 1232.1630
Epoch [  59/450] -> Loss: 1229.5182
Epoch [  60/450] -> Loss: 1230.5820
Epoch [  61/450] -> Loss: 1229.4546
Epoch [  62/450] -> Loss: 1225.7839
Epoch [  63/450] -> Loss: 1225.8593
Epoch [  64/450] -> Loss: 1224.7427
Epoch [  65/450] -> Loss: 1225.7470
Epoch [  66/450] -> Loss: 1222.8332
Epoch [  67/450] -> Loss: 1220.5820
Epoch [  68/450] -> Loss: 1222.7171
Epoch [  69/450] -> Loss: 1222.8568
Epoch [  70/450] -> Loss: 1220.1610
Epoch [  71/450] -> Loss: 1219.2505
Epoch [  72/450] -> Loss: 1217.9967
Epoch [  73/450] -> Loss: 1217.5138
Epoch [  74/450] -> Loss: 1218.1204
Epoch [  75/450] -> Loss: 1217.7917
Epoch [  76/450] -> Loss: 1217.7825
Epoch [  77/450] -> Loss: 1215.1192
Epoch [  78/450] -> Loss: 1213.3532
Epoch [  79/450] -> Loss: 1213.1038
Epoch [  80/450] -> Loss: 1214.0276
Epoch [  81/450] -> Loss: 1214.4366
Epoch [  82/450] -> Loss: 1213.3389
Epoch [  83/450] -> Loss: 1212.1768
Epoch [  84/450] -> Loss: 1211.7147
Epoch [  85/450] -> Loss: 1210.1099
Epoch [  86/450] -> Loss: 1209.4726
Epoch [  87/450] -> Loss: 1210.8985
Epoch [  88/450] -> Loss: 1209.0449
Epoch [  89/450] -> Loss: 1207.9121
Epoch [  90/450] -> Loss: 1207.9771
Epoch [  91/450] -> Loss: 1207.5367
Epoch [  92/450] -> Loss: 1204.2126
Epoch [  93/450] -> Loss: 1208.2443
Epoch [  94/450] -> Loss: 1205.3541
Epoch [  95/450] -> Loss: 1204.3310
Epoch [  96/450] -> Loss: 1205.8022
Epoch [  97/450] -> Loss: 1204.2444
Epoch [  98/450] -> Loss: 1205.9072
Epoch [  99/450] -> Loss: 1201.6258
--------------------------------------------------
Model checkpoint saved as FFNN_100.pth
--------------------------------------------------
Epoch [ 100/450] -> Loss: 1205.7219
Epoch [ 101/450] -> Loss: 1204.3217
Epoch [ 102/450] -> Loss: 1203.3640
Epoch [ 103/450] -> Loss: 1200.3424
Epoch [ 104/450] -> Loss: 1201.6844
Epoch [ 105/450] -> Loss: 1201.8366
Epoch [ 106/450] -> Loss: 1201.0708
Epoch [ 107/450] -> Loss: 1202.0646
Epoch [ 108/450] -> Loss: 1200.4341
Epoch [ 109/450] -> Loss: 1199.5493
Epoch [ 110/450] -> Loss: 1198.1614
Epoch [ 111/450] -> Loss: 1198.8582
Epoch [ 112/450] -> Loss: 1199.1065
Epoch [ 113/450] -> Loss: 1197.6283
Epoch [ 114/450] -> Loss: 1197.3435
Epoch [ 115/450] -> Loss: 1196.6914
Epoch [ 116/450] -> Loss: 1196.1597
Epoch [ 117/450] -> Loss: 1197.5701
Epoch [ 118/450] -> Loss: 1194.3876
Epoch [ 119/450] -> Loss: 1194.9374
Epoch [ 120/450] -> Loss: 1196.5616
Epoch [ 121/450] -> Loss: 1195.6771
Epoch [ 122/450] -> Loss: 1195.2529
Epoch [ 123/450] -> Loss: 1193.5719
Epoch [ 124/450] -> Loss: 1193.4291
Epoch [ 125/450] -> Loss: 1193.8211
Epoch [ 126/450] -> Loss: 1193.3017
Epoch [ 127/450] -> Loss: 1194.5622
Epoch [ 128/450] -> Loss: 1193.5890
Epoch [ 129/450] -> Loss: 1190.4538
Epoch [ 130/450] -> Loss: 1191.6981
Epoch [ 131/450] -> Loss: 1188.2267
Epoch [ 132/450] -> Loss: 1192.6397
Epoch [ 133/450] -> Loss: 1191.7329
Epoch [ 134/450] -> Loss: 1190.2458
Epoch [ 135/450] -> Loss: 1189.5924
Epoch [ 136/450] -> Loss: 1187.3851
Epoch [ 137/450] -> Loss: 1189.4346
Epoch [ 138/450] -> Loss: 1189.6949
Epoch [ 139/450] -> Loss: 1189.3921
Epoch [ 140/450] -> Loss: 1190.6577
Epoch [ 141/450] -> Loss: 1189.5435
Epoch [ 142/450] -> Loss: 1189.2396
Epoch [ 143/450] -> Loss: 1186.3622
Epoch [ 144/450] -> Loss: 1187.5284
Epoch [ 145/450] -> Loss: 1187.8013
Epoch [ 146/450] -> Loss: 1187.4524
Epoch [ 147/450] -> Loss: 1186.9146
Epoch [ 148/450] -> Loss: 1184.7708
Epoch [ 149/450] -> Loss: 1186.7661
--------------------------------------------------
Model checkpoint saved as FFNN_150.pth
--------------------------------------------------
Epoch [ 150/450] -> Loss: 1185.5363
Epoch [ 151/450] -> Loss: 1187.2119
Epoch [ 152/450] -> Loss: 1186.3595
Epoch [ 153/450] -> Loss: 1184.5504
Epoch [ 154/450] -> Loss: 1185.4334
Epoch [ 155/450] -> Loss: 1184.2211
Epoch [ 156/450] -> Loss: 1186.6014
Epoch [ 157/450] -> Loss: 1184.3177
Epoch [ 158/450] -> Loss: 1184.9899
Epoch [ 159/450] -> Loss: 1186.0718
Epoch [ 160/450] -> Loss: 1182.3887
Epoch [ 161/450] -> Loss: 1184.4797
Epoch [ 162/450] -> Loss: 1180.4855
Epoch [ 163/450] -> Loss: 1183.0349
Epoch [ 164/450] -> Loss: 1182.0033
Epoch [ 165/450] -> Loss: 1182.4369
Epoch [ 166/450] -> Loss: 1183.8118
Epoch [ 167/450] -> Loss: 1182.8169
Epoch [ 168/450] -> Loss: 1180.3654
Epoch [ 169/450] -> Loss: 1179.5472
Epoch [ 170/450] -> Loss: 1182.3958
Epoch [ 171/450] -> Loss: 1181.7156
Epoch [ 172/450] -> Loss: 1182.4362
Epoch [ 173/450] -> Loss: 1179.4882
Epoch [ 174/450] -> Loss: 1179.4100
Epoch [ 175/450] -> Loss: 1180.5467
Epoch [ 176/450] -> Loss: 1178.3524
Epoch [ 177/450] -> Loss: 1179.2283
Epoch [ 178/450] -> Loss: 1181.1604
Epoch [ 179/450] -> Loss: 1179.2815
Epoch [ 180/450] -> Loss: 1181.3171
Epoch [ 181/450] -> Loss: 1178.9380
Epoch [ 182/450] -> Loss: 1179.7035
Epoch [ 183/450] -> Loss: 1179.1200
Epoch [ 184/450] -> Loss: 1178.4936
Epoch [ 185/450] -> Loss: 1177.6400
Epoch [ 186/450] -> Loss: 1180.0793
Epoch [ 187/450] -> Loss: 1178.4752
Epoch [ 188/450] -> Loss: 1177.9759
Epoch [ 189/450] -> Loss: 1177.2166
Epoch [ 190/450] -> Loss: 1177.4210
Epoch [ 191/450] -> Loss: 1175.8126
Epoch [ 192/450] -> Loss: 1177.3377
Epoch [ 193/450] -> Loss: 1176.5544
Epoch [ 194/450] -> Loss: 1176.5234
Epoch [ 195/450] -> Loss: 1176.0716
Epoch [ 196/450] -> Loss: 1176.5014
Epoch [ 197/450] -> Loss: 1175.6998
Epoch [ 198/450] -> Loss: 1174.8013
Epoch [ 199/450] -> Loss: 1175.6340
--------------------------------------------------
Model checkpoint saved as FFNN_200.pth
--------------------------------------------------
Epoch [ 200/450] -> Loss: 1174.4203
Epoch [ 201/450] -> Loss: 1175.1001
Epoch [ 202/450] -> Loss: 1172.2737
Epoch [ 203/450] -> Loss: 1178.3086
Epoch [ 204/450] -> Loss: 1171.1989
Epoch [ 205/450] -> Loss: 1173.5634
Epoch [ 206/450] -> Loss: 1174.8206
Epoch [ 207/450] -> Loss: 1173.1154
Epoch [ 208/450] -> Loss: 1174.9239
Epoch [ 209/450] -> Loss: 1173.1617
Epoch [ 210/450] -> Loss: 1170.3785
