--------------------------------------------------
Code running on device: cuda
--------------------------------------------------
File location :
    SSN - /home/extern/Documents/Research/scripts/data/SILSO/TSN/SN_m_tot_V2.0.txt
    AA - /home/extern/Documents/Research/scripts/data/ISGI/aa_1869-01-01_2018-12-31_D.dat
--------------------------------------------------
Selected model: FFNN(
  (model): Sequential(
    (0): Linear(in_features=6, out_features=6, bias=True)
    (1): LeakyReLU(negative_slope=0.01, inplace=True)
    (2): Linear(in_features=6, out_features=1, bias=True)
  )
)    Training mode: True    Testing mode: False
--------------------------------------------------
No pre-trained models available, initializing model weights
--------------------------------------------------
Training model with: num_epochs=1800, start_lr=5e-05
Epoch [   1/1800] -> Loss: 14234.1140
Epoch [   2/1800] -> Loss: 12293.1971
Epoch [   3/1800] -> Loss: 10466.6890
Epoch [   4/1800] -> Loss: 8784.4219
Epoch [   5/1800] -> Loss: 7302.1873
Epoch [   6/1800] -> Loss: 6067.1482
Epoch [   7/1800] -> Loss: 5093.3738
Epoch [   8/1800] -> Loss: 4351.4592
Epoch [   9/1800] -> Loss: 3827.9624
Epoch [  10/1800] -> Loss: 3494.3623
Epoch [  11/1800] -> Loss: 3301.5721
Epoch [  12/1800] -> Loss: 3197.8344
Epoch [  13/1800] -> Loss: 3143.9321
Epoch [  14/1800] -> Loss: 3115.8643
Epoch [  15/1800] -> Loss: 3100.6184
Epoch [  16/1800] -> Loss: 3091.5615
Epoch [  17/1800] -> Loss: 3085.0411
Epoch [  18/1800] -> Loss: 3079.5654
Epoch [  19/1800] -> Loss: 3073.7785
Epoch [  20/1800] -> Loss: 3068.8503
Epoch [  21/1800] -> Loss: 3064.3259
Epoch [  22/1800] -> Loss: 3060.1320
Epoch [  23/1800] -> Loss: 3056.2032
Epoch [  24/1800] -> Loss: 3052.5817
Epoch [  25/1800] -> Loss: 3049.0996
Epoch [  26/1800] -> Loss: 3045.8810
Epoch [  27/1800] -> Loss: 3042.7224
Epoch [  28/1800] -> Loss: 3039.5685
Epoch [  29/1800] -> Loss: 3036.4964
Epoch [  30/1800] -> Loss: 3033.4175
Epoch [  31/1800] -> Loss: 3030.2564
Epoch [  32/1800] -> Loss: 3027.2030
Epoch [  33/1800] -> Loss: 3024.1797
Epoch [  34/1800] -> Loss: 3021.1426
Epoch [  35/1800] -> Loss: 3018.1855
Epoch [  36/1800] -> Loss: 3015.3406
Epoch [  37/1800] -> Loss: 3012.3784
Epoch [  38/1800] -> Loss: 3009.3915
Epoch [  39/1800] -> Loss: 3006.4002
Epoch [  40/1800] -> Loss: 3003.3921
Epoch [  41/1800] -> Loss: 3000.3670
Epoch [  42/1800] -> Loss: 2997.3451
Epoch [  43/1800] -> Loss: 2994.3371
Epoch [  44/1800] -> Loss: 2991.3024
Epoch [  45/1800] -> Loss: 2988.1791
Epoch [  46/1800] -> Loss: 2985.0520
Epoch [  47/1800] -> Loss: 2981.9777
Epoch [  48/1800] -> Loss: 2978.8935
Epoch [  49/1800] -> Loss: 2975.9169
Epoch [  50/1800] -> Loss: 2972.9235
Epoch [  51/1800] -> Loss: 2969.8800
Epoch [  52/1800] -> Loss: 2966.9137
Epoch [  53/1800] -> Loss: 2963.9698
Epoch [  54/1800] -> Loss: 2960.9556
Epoch [  55/1800] -> Loss: 2957.9606
Epoch [  56/1800] -> Loss: 2954.9491
Epoch [  57/1800] -> Loss: 2951.9937
Epoch [  58/1800] -> Loss: 2949.0094
Epoch [  59/1800] -> Loss: 2946.0041
Epoch [  60/1800] -> Loss: 2942.9940
Epoch [  61/1800] -> Loss: 2939.9848
Epoch [  62/1800] -> Loss: 2936.9737
Epoch [  63/1800] -> Loss: 2933.9539
Epoch [  64/1800] -> Loss: 2930.9383
Epoch [  65/1800] -> Loss: 2927.9053
Epoch [  66/1800] -> Loss: 2924.8735
Epoch [  67/1800] -> Loss: 2921.8242
Epoch [  68/1800] -> Loss: 2918.7784
Epoch [  69/1800] -> Loss: 2915.7237
Epoch [  70/1800] -> Loss: 2912.7279
Epoch [  71/1800] -> Loss: 2909.6853
Epoch [  72/1800] -> Loss: 2906.6055
Epoch [  73/1800] -> Loss: 2903.5206
Epoch [  74/1800] -> Loss: 2900.4100
Epoch [  75/1800] -> Loss: 2897.3144
Epoch [  76/1800] -> Loss: 2894.1855
Epoch [  77/1800] -> Loss: 2891.0592
Epoch [  78/1800] -> Loss: 2887.9223
Epoch [  79/1800] -> Loss: 2884.7654
Epoch [  80/1800] -> Loss: 2881.5965
Epoch [  81/1800] -> Loss: 2878.4156
Epoch [  82/1800] -> Loss: 2875.2224
Epoch [  83/1800] -> Loss: 2872.0228
Epoch [  84/1800] -> Loss: 2868.8121
Epoch [  85/1800] -> Loss: 2865.6061
Epoch [  86/1800] -> Loss: 2862.4046
Epoch [  87/1800] -> Loss: 2859.2038
Epoch [  88/1800] -> Loss: 2855.9840
Epoch [  89/1800] -> Loss: 2852.7621
Epoch [  90/1800] -> Loss: 2849.5248
Epoch [  91/1800] -> Loss: 2846.2835
Epoch [  92/1800] -> Loss: 2843.0334
Epoch [  93/1800] -> Loss: 2839.7752
Epoch [  94/1800] -> Loss: 2836.5119
Epoch [  95/1800] -> Loss: 2833.2598
Epoch [  96/1800] -> Loss: 2829.9855
Epoch [  97/1800] -> Loss: 2826.7062
Epoch [  98/1800] -> Loss: 2823.4126
Epoch [  99/1800] -> Loss: 2820.1263
Epoch [ 100/1800] -> Loss: 2816.8305
Epoch [ 101/1800] -> Loss: 2813.5256
Epoch [ 102/1800] -> Loss: 2810.2121
Epoch [ 103/1800] -> Loss: 2806.9113
Epoch [ 104/1800] -> Loss: 2803.5936
Epoch [ 105/1800] -> Loss: 2800.3124
Epoch [ 106/1800] -> Loss: 2797.0314
Epoch [ 107/1800] -> Loss: 2793.7536
Epoch [ 108/1800] -> Loss: 2790.4891
Epoch [ 109/1800] -> Loss: 2787.2159
Epoch [ 110/1800] -> Loss: 2783.9397
Epoch [ 111/1800] -> Loss: 2780.6561
Epoch [ 112/1800] -> Loss: 2777.3712
Epoch [ 113/1800] -> Loss: 2774.0899
Epoch [ 114/1800] -> Loss: 2770.7953
Epoch [ 115/1800] -> Loss: 2767.4977
Epoch [ 116/1800] -> Loss: 2764.2059
Epoch [ 117/1800] -> Loss: 2760.9119
Epoch [ 118/1800] -> Loss: 2757.6043
Epoch [ 119/1800] -> Loss: 2754.2930
Epoch [ 120/1800] -> Loss: 2750.9848
Epoch [ 121/1800] -> Loss: 2747.6728
Epoch [ 122/1800] -> Loss: 2744.3401
Epoch [ 123/1800] -> Loss: 2741.0002
Epoch [ 124/1800] -> Loss: 2737.6531
Epoch [ 125/1800] -> Loss: 2734.2980
Epoch [ 126/1800] -> Loss: 2730.9375
Epoch [ 127/1800] -> Loss: 2727.5822
Epoch [ 128/1800] -> Loss: 2724.2116
Epoch [ 129/1800] -> Loss: 2720.8418
Epoch [ 130/1800] -> Loss: 2717.4658
Epoch [ 131/1800] -> Loss: 2714.0919
Epoch [ 132/1800] -> Loss: 2710.7100
Epoch [ 133/1800] -> Loss: 2707.3370
Epoch [ 134/1800] -> Loss: 2703.9602
Epoch [ 135/1800] -> Loss: 2700.5820
Epoch [ 136/1800] -> Loss: 2697.2020
