--------------------------------------------------
Code running on device: cuda
--------------------------------------------------
File location :
    SSN - /home/extern/Documents/Research/scripts/data/SILSO/TSN/SN_m_tot_V2.0.txt
    AA - /home/extern/Documents/Research/scripts/data/ISGI/aa_1869-01-01_2018-12-31_D.dat
--------------------------------------------------
Selected model: FFNN(
  (model): Sequential(
    (0): Linear(in_features=6, out_features=6, bias=True)
    (1): Linear(in_features=6, out_features=6, bias=True)
    (2): ReLU(inplace=True)
    (3): Linear(in_features=6, out_features=1, bias=True)
  )
)    Training mode: True    Testing mode: False
--------------------------------------------------
No pre-trained models available, initializing model weights
--------------------------------------------------
Training model with: num_epochs=2600, start_lr=0.0005
Epoch [   1/2600] -> Loss: 26441.0142
Epoch [   2/2600] -> Loss: 24570.7734
Epoch [   3/2600] -> Loss: 23067.7976
Epoch [   4/2600] -> Loss: 21463.0994
Epoch [   5/2600] -> Loss: 20065.0680
Epoch [   6/2600] -> Loss: 18746.0597
Epoch [   7/2600] -> Loss: 17428.0167
Epoch [   8/2600] -> Loss: 16266.1736
Epoch [   9/2600] -> Loss: 15111.5255
Epoch [  10/2600] -> Loss: 14145.6798
Epoch [  11/2600] -> Loss: 13094.8281
Epoch [  12/2600] -> Loss: 12130.4141
Epoch [  13/2600] -> Loss: 11388.7527
Epoch [  14/2600] -> Loss: 10495.7426
Epoch [  15/2600] -> Loss: 9821.4796
Epoch [  16/2600] -> Loss: 9121.2176
Epoch [  17/2600] -> Loss: 8593.2349
Epoch [  18/2600] -> Loss: 8135.7716
Epoch [  19/2600] -> Loss: 7717.7561
Epoch [  20/2600] -> Loss: 7330.1109
Epoch [  21/2600] -> Loss: 7003.7785
Epoch [  22/2600] -> Loss: 6666.5584
Epoch [  23/2600] -> Loss: 6326.8864
Epoch [  24/2600] -> Loss: 5975.6563
Epoch [  25/2600] -> Loss: 5732.9697
Epoch [  26/2600] -> Loss: 5449.4600
Epoch [  27/2600] -> Loss: 5172.0992
Epoch [  28/2600] -> Loss: 4946.2412
Epoch [  29/2600] -> Loss: 4708.0732
Epoch [  30/2600] -> Loss: 4491.1372
Epoch [  31/2600] -> Loss: 4295.2709
Epoch [  32/2600] -> Loss: 4150.2639
Epoch [  33/2600] -> Loss: 3981.3249
Epoch [  34/2600] -> Loss: 3854.5194
Epoch [  35/2600] -> Loss: 3754.1363
Epoch [  36/2600] -> Loss: 3597.6984
Epoch [  37/2600] -> Loss: 3519.1910
Epoch [  38/2600] -> Loss: 3424.3211
Epoch [  39/2600] -> Loss: 3359.4294
Epoch [  40/2600] -> Loss: 3302.8482
Epoch [  41/2600] -> Loss: 3232.8240
Epoch [  42/2600] -> Loss: 3189.9156
Epoch [  43/2600] -> Loss: 3150.4968
Epoch [  44/2600] -> Loss: 3121.5006
Epoch [  45/2600] -> Loss: 3081.3839
Epoch [  46/2600] -> Loss: 3057.4635
Epoch [  47/2600] -> Loss: 3049.2113
Epoch [  48/2600] -> Loss: 3033.0023
Epoch [  49/2600] -> Loss: 3028.2173
Epoch [  50/2600] -> Loss: 3014.7844
Epoch [  51/2600] -> Loss: 3017.5929
Epoch [  52/2600] -> Loss: 3006.5659
Epoch [  53/2600] -> Loss: 3017.7899
Epoch [  54/2600] -> Loss: 2984.3984
Epoch [  55/2600] -> Loss: 2995.5967
Epoch [  56/2600] -> Loss: 3002.5702
Epoch [  57/2600] -> Loss: 3000.1107
Epoch [  58/2600] -> Loss: 2989.2706
Epoch [  59/2600] -> Loss: 2976.9246
Epoch [  60/2600] -> Loss: 2989.3188
Epoch [  61/2600] -> Loss: 2979.9903
Epoch [  62/2600] -> Loss: 2979.3400
Epoch [  63/2600] -> Loss: 2989.3036
Epoch [  64/2600] -> Loss: 2975.3344
Epoch [  65/2600] -> Loss: 2987.8406
Epoch [  66/2600] -> Loss: 2983.8584
Epoch [  67/2600] -> Loss: 2984.6254
Epoch [  68/2600] -> Loss: 2981.7879
Epoch [  69/2600] -> Loss: 2973.2944
Epoch [  70/2600] -> Loss: 2975.0491
Epoch [  71/2600] -> Loss: 2987.3170
Epoch [  72/2600] -> Loss: 2983.5162
Epoch [  73/2600] -> Loss: 2980.7617
Epoch [  74/2600] -> Loss: 2960.2718
Epoch [  75/2600] -> Loss: 2974.8592
Epoch [  76/2600] -> Loss: 2972.6817
Epoch [  77/2600] -> Loss: 2978.4049
Epoch [  78/2600] -> Loss: 2966.0216
Epoch [  79/2600] -> Loss: 2957.9598
Epoch [  80/2600] -> Loss: 2962.1740
